day,direction,protocol,state,connections
2023-01-10,internal,tcp,RSTOS0,23670
2023-01-11,inbound,tcp,RSTRH,2684490
2023-01-11,outbound,tcp,S0,115647370
2023-01-11,outbound,tcp,S1,8171279
2023-01-11,outbound,tcp,S2,3801296
2023-01-11,outbound,tcp,S3,3806035
2023-01-11,internal,udp,OTH,8171
2023-01-11,inbound,tcp,REJ,79811
2023-01-11,outbound,udp,SF,2546466
2023-01-11,outbound,udp,OTH,53121085
2023-01-11,outbound,tcp,SF,33586364
2023-01-11,outbound,tcp,SH,16432617
2023-01-11,inbound,udp,SHR,19877081
2023-01-11,outbound,tcp,RSTO,8034285
2023-01-11,outbound,tcp,RSTR,3245468
2023-01-11,internal,icmp,OTH,1307613
2023-01-11,inbound,tcp,OTH,16034294
2023-01-11,internal,udp,S0,491592
2023-01-11,internal,tcp,S0,317182
2023-01-11,internal,tcp,S1,2159
2023-01-11,inbound,udp,S0,2076730168
2023-01-11,internal,tcp,S2,2760
2023-01-11,internal,tcp,S3,1695
2023-01-11,inbound,tcp,S0,580984625
2023-01-11,internal,tcp,SHR,23174
2023-01-11,inbound,tcp,S1,500168
2023-01-11,inbound,tcp,S2,442670
2023-01-11,inbound,tcp,S3,242242
2023-01-11,internal,udp,SF,1698
2023-01-11,outbound,tcp,SHR,42948490
2023-01-11,internal,tcp,RSTO,1986
2023-01-11,inbound,icmp,OTH,131066860
2023-01-11,internal,tcp,RSTR,4867
2023-01-11,inbound,udp,OTH,58631929
2023-01-11,internal,tcp,SF,90342
2023-01-11,inbound,udp,SF,733717
2023-01-11,internal,tcp,SH,84243
2023-01-11,internal,tcp,REJ,22
2023-01-11,inbound,tcp,SF,7575076
2023-01-11,inbound,tcp,SH,7029637
2023-01-11,outbound,tcp,REJ,55317
2023-01-11,inbound,tcp,RSTO,1397967
2023-01-11,internal,tcp,RSTRH,2969
2023-01-11,internal,udp,SHR,44892
2023-01-11,outbound,tcp,RSTOS0,72989190
2023-01-11,inbound,tcp,RSTR,557001
2023-01-11,outbound,tcp,RSTRH,22615853
2023-01-11,outbound,udp,SHR,87537426
2023-01-11,inbound,tcp,RSTOS0,17803128
2023-01-11,internal,tcp,OTH,233791
2023-01-11,outbound,tcp,OTH,53112379
2023-01-11,outbound,udp,S0,2067097674
2023-01-11,outbound,icmp,OTH,92841523
2023-01-11,inbound,tcp,SHR,10130967
2023-01-11,internal,tcp,RSTOS0,11890
2023-01-12,inbound,tcp,RSTRH,2761747
2023-01-12,outbound,tcp,S0,104960502
2023-01-12,outbound,tcp,S1,6000190
2023-01-12,outbound,tcp,S2,2854762
2023-01-12,outbound,tcp,S3,2907881
2023-01-12,internal,udp,OTH,57973
2023-01-12,inbound,tcp,REJ,43606
2023-01-12,outbound,udp,SF,1892098
2023-01-12,outbound,udp,OTH,37800596
2023-01-12,outbound,tcp,SF,29603213
2023-01-12,outbound,tcp,SH,14098301
2023-01-12,inbound,udp,SHR,22023833
2023-01-12,outbound,tcp,RSTO,7022710
2023-01-12,outbound,tcp,RSTR,2728588
2023-01-12,internal,icmp,OTH,1220157
2023-01-12,inbound,tcp,OTH,14300702
2023-01-12,internal,udp,S0,1712778
2023-01-12,internal,tcp,S0,330471
2023-01-12,internal,tcp,S1,2372
2023-01-12,inbound,udp,S0,1986104466
2023-01-12,internal,tcp,S2,2376
2023-01-12,internal,tcp,S3,1454
2023-01-12,inbound,tcp,S0,784241169
2023-01-12,inbound,tcp,S1,420506
2023-01-12,internal,tcp,SHR,22525
2023-01-12,inbound,tcp,S2,353437
2023-01-12,inbound,tcp,S3,191634
2023-01-12,internal,udp,SF,997
2023-01-12,outbound,tcp,SHR,42031314
2023-01-12,internal,tcp,RSTO,2853
2023-01-12,inbound,icmp,OTH,137655801
2023-01-12,internal,tcp,RSTR,6281
2023-01-12,inbound,udp,OTH,37677956
2023-01-12,internal,tcp,SF,96598
2023-01-12,inbound,udp,SF,547651
2023-01-12,internal,tcp,SH,90619
2023-01-12,internal,tcp,REJ,6
2023-01-12,inbound,tcp,SF,7625956
2023-01-12,inbound,tcp,SH,7601625
